SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-09-24,2021-12-17,-64.13$,-3.07%,-21.36%
AAPL,2021-09-24,2021-12-17,374.18$,2.66%,18.44%
ERJ,2021-09-28,2021-12-17,-516.5$,-27.79%,-12.77%
GE,2021-09-24,2021-12-17,69.0$,0.67%,-12.0%
NIO,2021-09-28,2021-12-17,48.46$,1.34%,-14.4%
TSP,2021-09-24,2021-12-17,453.96$,12.43%,-10.55%
SOHO,2021-09-28,2021-12-17,20.05$,7.0%,-17.96%
