,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型
4342,600603,广汇物流,-3.85,4.0,4.13,3.89,3.98,-0.16,5.06,0.78,24.16,634328,252720717.0,4.16,5012139388,5012139388,1.600603,沪A
4343,300859,*ST西域,-3.85,18.24,18.75,18.1,18.2,-0.73,1.91,0.52,-40.24,18255,33568893.0,18.97,2827200000,1745796000,0.300859,深A
4344,002731,萃华珠宝,-3.85,13.48,13.96,12.62,13.85,-0.54,1.94,0.86,29.73,46402,62812624.0,14.02,3452982880,3224698271,0.002731,深A
4345,603489,八方股份,-3.85,163.4,170.31,160.53,170.31,-6.55,0.64,1.2,27.37,4559,74474596.0,169.95,19657681770,11666760000,1.603489,沪A
4346,002461,珠江啤酒,-3.86,7.48,7.64,7.42,7.6,-0.3,0.38,0.86,58.26,84486,63566095.0,7.78,16555697030,16555697030,0.002461,深A
4347,000027,深圳能源,-3.86,5.73,5.86,5.71,5.84,-0.23,0.36,0.85,13.16,170556,98462873.0,5.96,27259844219,27259844219,0.000027,深A
4348,600483,福能股份,-3.86,11.7,11.98,11.52,11.8,-0.47,1.06,0.63,8.88,184590,217147839.0,12.17,22868196296,20428267111,1.600483,沪A
4349,002646,天佑德酒,-3.87,16.91,17.28,16.59,17.12,-0.68,2.47,0.6,18.23,116786,197248250.0,17.59,7991039890,7990186679,0.002646,深A
4350,603693,江苏新能,-3.87,14.42,14.73,14.33,14.64,-0.58,0.85,0.53,19.32,52425,76019050.0,15.0,9888524762,8911560000,1.603693,沪A
4351,601699,潞安环能,-3.87,14.42,15.06,14.21,14.55,-0.58,1.12,0.66,4.37,336438,491760080.0,15.0,43136120664,43136120664,1.601699,沪A
4352,002060,粤 水 电,-3.87,6.96,7.15,6.81,6.91,-0.28,10.05,0.63,44.41,1208041,841207696.0,7.24,8367743924,8364894047,0.002060,深A
4353,600509,天富能源,-3.87,4.22,4.33,4.18,4.3,-0.17,0.67,0.87,-5.53,76887,32508504.0,4.39,4858971372,4858971372,1.600509,沪A
4354,603030,全筑股份,-3.87,2.73,2.81,2.71,2.74,-0.11,1.92,0.71,-29.81,111529,30713800.0,2.84,1583580191,1583580191,1.603030,沪A
4355,300059,东方财富,-3.88,21.53,22.08,21.5,21.8,-0.87,1.97,0.63,32.76,2179166,4736405504.0,22.4,284500919572,238739088374,0.300059,深A
4356,002264,新 华 都,-3.89,4.45,4.61,4.43,4.61,-0.18,2.09,0.48,18.15,128674,57841875.0,4.63,3046309266,2743689726,0.002264,深A
4357,002756,永兴材料,-3.89,98.61,100.85,97.51,98.6,-3.99,2.07,0.54,12.34,54740,542728208.0,102.6,40030744292,26110578029,0.002756,深A
4358,688377,迪威尔,-3.89,28.14,29.4,27.96,29.4,-1.14,1.11,0.71,45.0,11680,33433457.0,29.28,5477929380,2969807972,1.688377,沪A
4359,601598,中国外运,-3.9,3.7,3.77,3.66,3.77,-0.15,3.33,0.86,6.97,450446,167460655.0,3.85,27382974338,5001057755,1.601598,沪A
4360,600884,杉杉股份,-3.9,21.21,22.05,21.2,21.39,-0.86,1.71,0.78,14.08,283537,608738752.0,22.07,45451331885,35092309218,1.600884,沪A
4361,601992,金隅集团,-3.9,2.71,2.78,2.69,2.78,-0.11,0.55,0.94,26.24,459434,125130142.0,2.82,28936759773,22585568895,1.601992,沪A
4362,300146,汤臣倍健,-3.9,19.46,20.01,19.44,19.9,-0.79,0.61,0.59,12.48,61825,121724225.0,20.25,33088008528,19693987857,0.300146,深A
