,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型
1088,SOFO,索尼克铸造科技,1.4,2.18,2.19,2.04,2.11,0.03,0.22,0.44,5.92,24211,49916.0,2.15,23544972,23544972,105.SOFO,美股
1089,PVH,PVH Corp,1.39,67.73,69.05,64.64,66.23,0.93,3.35,1.21,4.8,2260749,152490703.0,66.8,4573239052,4573239052,106.PVH,美股
1091,IPAR,依特香水,1.39,80.41,80.93,77.33,78.89,1.1,0.33,1.08,29.29,106552,8537372.0,79.31,2560433312,2560433312,105.IPAR,美股
1093,SPLP,Steel Partners Holdings LP,1.38,42.46,43.8,41.9,41.9,0.58,0.15,3.13,6.69,30794,1303732.0,41.88,879569557,879569557,106.SPLP,美股
1094,SAMG,Silvercrest Asset Management Gr,1.38,21.25,22.26,20.07,20.57,0.29,0.49,1.91,20.92,70217,1492283.0,20.96,307334245,307334245,105.SAMG,美股
1095,PIK,Kidpik Corp,1.38,2.2,2.25,2.01,2.12,0.03,2.65,0.86,-2.82,201970,437131.0,2.17,16759235,16759235,105.PIK,美股
1096,ISO,IsoPlexis Corp,1.38,2.21,2.25,2.07,2.07,0.03,0.16,0.69,-1.06,64344,141852.0,2.18,86285375,86285375,105.ISO,美股
1097,BBDO,布拉德斯科银行,1.37,2.95,3.02,2.87,2.88,0.04,0.0,1.67,3.46,37344,108294.0,2.91,28584126987,14316601774,106.BBDO,美股
1098,BSVN,Bank7 Corp,1.37,24.35,24.8,23.25,23.25,0.33,0.26,1.49,9.56,23462,562084.0,24.02,221450296,221450296,105.BSVN,美股
1099,FSBC,Five Star Bancorp,1.37,25.87,26.11,25.65,25.67,0.35,0.18,1.06,10.51,31573,817646.0,25.52,446159168,446159168,105.FSBC,美股
1100,YTEN,Yield10 Bioscience Inc,1.37,2.96,3.04,2.84,2.93,0.04,1.02,0.3,-1.31,49849,147478.0,2.92,14484473,14484473,105.YTEN,美股
1101,MKTW,MarketWise Inc-A,1.37,3.7,3.8,3.6,3.67,0.05,0.08,0.97,-1.16,252055,932426.0,3.65,1178079545,1178079545,105.MKTW,美股
1103,ICAD,iCAD Inc,1.37,3.7,3.78,3.54,3.7,0.05,0.64,0.75,-8.29,160332,592691.0,3.65,93172871,93172871,105.ICAD,美股
1104,KN,Knowles Corp,1.37,19.26,19.36,18.82,18.94,0.26,0.92,0.69,11.33,844630,16167457.0,19.0,1767192248,1767192248,106.KN,美股
1105,XHR,Xenia Hotels & Resorts Inc,1.37,18.53,18.82,17.98,18.29,0.25,0.48,0.92,-14.76,553143,10234996.0,18.28,2118966149,2118966149,106.XHR,美股
1106,HLMN,Hillman Solutions Corp,1.37,11.87,11.94,11.25,11.66,0.16,0.81,1.0,-60.11,1580619,18564373.0,11.71,2303946477,2303946477,105.HLMN,美股
1107,AZO,汽车地带,1.36,2000.0,2002.03,1918.42,1959.0,26.91,0.86,0.94,16.48,170611,336725984.0,1973.09,39697736000,39697736000,106.AZO,美股
1110,PTEN,Patterson-UTI Energy Inc,1.35,16.46,16.71,15.94,16.59,0.22,1.18,0.74,-6.17,2544245,41705320.0,16.24,3560350672,3560350672,105.PTEN,美股
1112,CHNR,中国天然资源,1.35,0.75,0.75,0.71,0.72,0.01,0.03,1.2,-50.65,12168,8860.0,0.74,30711062,30711062,105.CHNR,美股
1114,NLY,Annaly Capital Management Inc,1.35,6.77,6.79,6.62,6.68,0.09,2.68,1.17,4.14,39184322,262971398.0,6.68,9891052946,9891052946,106.NLY,美股
1115,HGV,希尔顿度假酒店,1.35,43.7,44.33,42.42,43.08,0.58,1.64,2.34,29.83,1967543,85578026.0,43.12,5249588050,5249588050,106.HGV,美股
1116,AMCR,Amcor plc,1.34,12.81,12.92,12.49,12.63,0.17,1.11,0.9,20.28,16675451,212600610.0,12.64,19250441465,19250441465,106.AMCR,美股
1118,HURC,赫克,1.34,28.75,28.75,28.14,28.3,0.38,0.11,0.46,19.62,7025,200170.0,28.37,189090015,189090015,105.HURC,美股
1119,SHEL,壳牌,1.33,57.7,57.72,56.42,57.34,0.76,0.12,0.92,10.84,4531795,258755060.0,56.94,217845307563,217845307563,106.SHEL,美股
1120,CHT,中华电信,1.33,42.52,42.59,42.26,42.31,0.56,0.02,1.02,25.58,182073,7734422.0,41.96,32984662709,32984662709,106.CHT,美股
1121,CXW,CoreCivic Inc,1.33,12.15,12.47,11.57,11.8,0.16,0.91,0.86,-28.47,1103794,13425948.0,11.99,1477358704,1477358704,106.CXW,美股
