SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-11-17,2021-12-17,-42.35$,-1.72%,-12.05%
AAPL,2021-11-17,2021-12-17,176.0$,1.08%,7.17%
ERJ,2021-10-01,2021-12-17,-80.5$,-4.6%,-18.02%
GE,2021-10-25,2021-12-17,-1228.08$,-11.5%,-11.44%
NIO,2021-11-03,2021-12-17,160.0$,3.97%,-28.04%
TSP,2021-10-28,2021-12-17,153.28$,2.91%,-15.68%
SOHO,2021-09-28,2021-12-17,52.78$,23.51%,-17.96%
