SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-11-17,2021-12-17,-225.85$,-11.52%,-12.05%
AAPL,2021-11-17,2021-12-17,267.0$,1.66%,7.17%
ERJ,2021-10-01,2021-12-17,-71.0$,-4.02%,-18.02%
GE,2021-10-25,2021-12-17,-1267.13$,-11.87%,-11.44%
NIO,2021-11-03,2021-12-17,160.0$,3.97%,-28.04%
TSP,2021-10-28,2021-12-17,-194.26$,-6.21%,-15.68%
SOHO,2021-09-28,2021-12-17,46.25$,19.89%,-17.96%
