SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-11-17,2021-12-17,95.55$,5.6%,-12.05%
AAPL,2021-11-17,2021-12-17,213.5$,1.23%,7.17%
ERJ,2021-10-01,2021-12-17,-267.89$,-15.25%,-18.02%
GE,2021-10-25,2021-12-17,-330.15$,-3.36%,-11.44%
NIO,2021-11-03,2021-12-17,-147.07$,-3.61%,-28.04%
TSP,2021-10-28,2021-12-17,70.46$,1.89%,-15.68%
SOHO,2021-09-28,2021-12-17,16.46$,7.53%,-17.96%
