SYM,Start,End,FlPL,StdPL,FixPL
SOHO,2021-10-12,2022-01-05,-22.73$,-9.61%,-9.52%
ATOS,2021-10-12,2022-01-05,37.59$,14.89%,-46.27%
MITT,2021-10-12,2022-01-05,-121.6$,-9.49%,-16.94%
AHT,2021-09-28,2021-12-17,NA,NA,NA
GSAT,2021-10-12,2022-01-05,10.7$,7.09%,-3.25%
TSP,2021-10-12,2022-01-05,444.51$,12.7%,-20.29%
