SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-11-17,2021-12-17,68.34$,3.89%,-12.05%
AAPL,2021-11-17,2021-12-17,260.5$,1.5%,7.17%
ERJ,2021-10-01,2021-12-17,-215.0$,-12.25%,-18.02%
GE,2021-10-25,2021-12-17,-273.77$,-2.82%,-11.44%
NIO,2021-11-03,2021-12-17,-115.08$,-2.85%,-28.04%
TSP,2021-10-28,2021-12-17,-27.04$,-1.24%,-15.68%
SOHO,2021-09-28,2021-12-17,9.86$,4.24%,-17.96%
