Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13,0.056237501864629044,0.06450779732945493,0.056237501864629044,0.061750609427690506,1031788800,0.0,0.0
1986-03-14,0.061750636702284686,0.06505913682168428,0.061750636702284686,0.0639558807015419,308160000,0.0,0.0
1986-03-17,0.06395585484810652,0.06561042129922333,0.06395585484810652,0.0650591105222702,133171200,0.0,0.0
1986-03-18,0.0650591193132166,0.06561043016466418,0.06285324178708315,0.06340455263853073,67766400,0.0,0.0
1986-03-19,0.06340453277106434,0.0639558434497617,0.06175060073497222,0.062301911413669586,47894400,0.0,0.0
1986-03-20,0.062301930549236745,0.062301930549236745,0.060096687157123414,0.06064799800515175,58435200,0.0,0.0
1986-03-21,0.06064799852854077,0.061750620234113,0.05789144426461019,0.05899406597018242,59990400,0.0,0.0
1986-03-24,0.05899408183964206,0.05899408183964206,0.05678883783528503,0.05734014883637428,65289600,0.0,0.0
1986-03-25,0.05734012749131824,0.058442749083042145,0.05678881669545628,0.058442749083042145,32083200,0.0,0.0
1986-03-26,0.058442730626300725,0.060647973113313075,0.05789142000454764,0.06009666249155998,22752000,0.0,0.0
1986-03-27,0.06009669674560142,0.06119931861758232,0.06009669674560142,0.06119931861758232,16848000,0.0,0.0
1986-03-31,0.06119930885318008,0.06119930885318008,0.05954537630909508,0.06064799800515175,12873600,0.0,0.0
1986-04-01,0.060647973113313075,0.060647973113313075,0.06009666249155998,0.06009666249155998,11088000,0.0,0.0
1986-04-02,0.060096687157123414,0.06175061970120841,0.060096687157123414,0.06064799800515175,27014400,0.0,0.0
1986-04-03,0.06119931861758232,0.06285325142555367,0.06119931861758232,0.06119931861758232,23040000,0.0,0.0
1986-04-04,0.06119931861758232,0.06175062955357277,0.06119931861758232,0.06119931861758232,26582400,0.0,0.0
1986-04-07,0.06119928373506616,0.06175059435681925,0.05899404124805381,0.06009666249155998,16560000,0.0,0.0
1986-04-08,0.060096687157123414,0.06175061970120841,0.060096687157123414,0.06064799800515175,10252800,0.0,0.0
1986-04-09,0.060647987915078215,0.062301920183996655,0.060647987915078215,0.061750609427690506,12153600,0.0,0.0
1986-04-10,0.06175060073497222,0.06285322209236696,0.060647979377577474,0.062301911413669586,13881600,0.0,0.0
