SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-09-24,2021-12-17,-64.13$,-3.07%,-21.36%
AAPL,2021-09-24,2021-12-17,374.18$,2.66%,18.44%
ERJ,2021-09-28,2021-12-17,-584.64$,-31.0%,-12.77%
GE,2021-09-24,2021-12-17,69.0$,0.67%,-12.0%
NIO,2021-09-28,2021-12-17,106.46$,3.1%,-14.4%
TSP,2021-09-24,2021-12-17,736.52$,21.7%,-10.55%
SOHO,2021-09-28,2021-12-17,25.02$,9.15%,-17.96%
