SYM,Start,End,FlPL,StdPL,FixPL
AAPL,2021-10-12,2022-01-07,115.0$,0.97%,22.04%
AMZN,2021-10-12,2022-01-07,-47639.88$,-13.16%,-1.07%
FB,2021-10-12,2022-01-07,623.5$,2.2%,2.31%
NFLX,2021-10-12,2022-01-07,-5062.88$,-8.14%,-14.46%
GOOG,2021-10-12,2022-01-07,-18278.0$,-6.19%,-1.48%
TSLA,2021-10-12,2022-01-07,175.89$,-0.52%,26.3%
MSFT,2021-10-12,2022-01-07,1300.79$,4.0%,5.91%
NVDA,2021-10-12,2022-01-07,1675.01$,6.79%,29.72%
