SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-11-17,2021-12-17,127.26$,7.35%,-12.05%
AAPL,2021-11-17,2021-12-17,241.0$,1.5%,7.17%
ERJ,2021-10-01,2021-12-17,-166.0$,-10.86%,-18.02%
GE,2021-10-25,2021-12-17,-896.98$,-8.21%,-11.44%
NIO,2021-11-03,2021-12-17,160.0$,3.97%,-28.04%
TSP,2021-10-28,2021-12-17,377.24$,9.99%,-15.68%
SOHO,2021-09-28,2021-12-17,65.15$,30.34%,-17.96%
