SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-11-17,2021-12-17,41.39$,2.14%,-12.05%
AAPL,2021-11-17,2021-12-17,95.0$,0.59%,7.17%
ERJ,2021-10-01,2021-12-17,-5.16$,-0.29%,-18.02%
GE,2021-10-25,2021-12-17,-376.71$,-3.43%,-11.44%
NIO,2021-11-03,2021-12-17,200.0$,5.0%,-28.04%
TSP,2021-10-28,2021-12-17,149.51$,4.04%,-15.68%
SOHO,2021-09-28,2021-12-17,6.32$,2.4%,-17.96%
