SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-11-17,2021-12-17,155.17$,9.12%,-12.05%
AAPL,2021-11-17,2021-12-17,163.01$,1.03%,7.17%
ERJ,2021-10-01,2021-12-17,-247.5$,-14.28%,-18.02%
GE,2021-10-25,2021-12-17,-906.14$,-8.43%,-11.44%
NIO,2021-11-03,2021-12-17,140.6$,3.48%,-28.04%
TSP,2021-10-28,2021-12-17,19.19$,-0.12%,-15.68%
SOHO,2021-09-28,2021-12-17,22.05$,8.03%,-17.96%
