SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-11-17,2021-12-17,113.04$,6.65%,-12.05%
AAPL,2021-11-17,2021-12-17,230.5$,1.32%,7.17%
ERJ,2021-10-01,2021-12-17,-276.0$,-15.65%,-18.02%
GE,2021-10-25,2021-12-17,-381.15$,-3.87%,-11.44%
NIO,2021-11-03,2021-12-17,-317.95$,-9.31%,-28.04%
TSP,2021-10-28,2021-12-17,-24.04$,-0.45%,-15.68%
SOHO,2021-09-28,2021-12-17,9.97$,4.44%,-17.96%
