SYM,Start,End,FlPL,StdPL,FixPL
AAPL,2021-12-23,2022-01-07,-723.5$,-4.05%,-4.44%
MSFT,2021-12-23,2022-01-07,-1792.0$,-5.33%,-8.61%
AMZN,2021-12-23,2022-01-07,-17240.02$,-5.06%,-4.52%
