SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-09-24,2021-12-17,-191.1$,-8.66%,-21.36%
AAPL,2021-09-24,2021-12-17,145.35$,1.02%,18.44%
ERJ,2021-09-28,2021-12-17,-158.5$,-10.44%,-12.77%
GE,2021-09-24,2021-12-17,351.0$,3.4%,-12.0%
NIO,2021-09-28,2021-12-17,107.46$,3.13%,-14.4%
TSP,2021-09-24,2021-12-17,556.78$,15.51%,-10.55%
SOHO,2021-09-28,2021-12-17,62.32$,28.84%,-17.96%
AHT,2021-09-28,2021-12-17,NA,NA,NA
GSAT,2021-09-28,2021-12-17,28.16$,20.42%,-24.4%
EDU,2021-09-28,2021-12-17,19.67$,9.15%,4.95%
PLTR,2021-09-28,2021-12-17,45.96$,2.0%,-21.33%
ATOS,2021-09-28,2021-12-17,-8.91$,-6.43%,-38.82%
CRIS,2021-09-24,2021-12-17,-100.37$,-17.84%,-39.41%
MFGP,2021-09-28,2021-12-17,18.19$,3.62%,-2.54%
MITT,2021-09-28,2021-12-17,-53.9$,-4.83%,-8.42%
