SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-09-24,2021-12-17,-318.9$,-14.09%,-21.36%
AAPL,2021-09-24,2021-12-17,185.0$,1.3%,18.44%
ERJ,2021-09-28,2021-12-17,44.5$,3.08%,-12.77%
GE,2021-09-24,2021-12-17,351.0$,3.4%,-12.0%
NIO,2021-09-28,2021-12-17,114.46$,3.36%,-14.4%
TSP,2021-09-24,2021-12-17,600.83$,16.95%,-10.55%
SOHO,2021-09-28,2021-12-17,64.11$,29.78%,-17.96%
AHT,2021-09-28,2021-12-17,NA,NA,NA
GSAT,2021-09-28,2021-12-17,28.56$,20.74%,-24.4%
EDU,2021-09-28,2021-12-17,19.67$,9.15%,4.95%
PLTR,2021-09-28,2021-12-17,45.96$,2.0%,-21.33%
ATOS,2021-09-28,2021-12-17,-15.24$,-8.2%,-38.82%
CRIS,2021-09-24,2021-12-17,-100.6$,-17.86%,-39.41%
MFGP,2021-09-28,2021-12-17,18.19$,3.62%,-2.54%
MITT,2021-09-28,2021-12-17,-60.56$,-5.43%,-8.42%
