SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-11-17,2021-12-17,-89.41$,-4.57%,-12.05%
AAPL,2021-11-17,2021-12-17,205.99$,1.28%,7.17%
ERJ,2021-10-01,2021-12-17,-536.64$,-29.13%,-18.02%
GE,2021-10-25,2021-12-17,-938.84$,-8.6%,-11.44%
NIO,2021-11-03,2021-12-17,140.6$,3.48%,-28.04%
TSP,2021-10-28,2021-12-17,176.57$,4.35%,-15.68%
SOHO,2021-09-28,2021-12-17,66.76$,30.84%,-17.96%
