SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-11-17,2021-12-17,88.82$,5.13%,-12.05%
AAPL,2021-11-17,2021-12-17,260.5$,1.5%,7.17%
ERJ,2021-10-01,2021-12-17,-183.5$,-10.35%,-18.02%
GE,2021-10-25,2021-12-17,-387.08$,-3.85%,-11.44%
NIO,2021-11-03,2021-12-17,-109.57$,-2.69%,-28.04%
TSP,2021-10-28,2021-12-17,78.69$,1.57%,-15.68%
SOHO,2021-09-28,2021-12-17,49.76$,22.05%,-17.96%
