SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-09-24,2021-12-17,0.0$,0.0%,-21.36%
AAPL,2021-09-24,2021-12-17,0.0$,0.0%,18.44%
ERJ,2021-09-28,2021-12-17,0.0$,0.0%,-12.77%
GE,2021-09-24,2021-12-17,0.0$,0.0%,-12.0%
NIO,2021-09-28,2021-12-17,0.0$,0.0%,-14.4%
TSP,2021-09-24,2021-12-17,0.0$,0.0%,-10.55%
SOHO,2021-09-28,2021-12-17,0.0$,0.0%,-17.96%
