SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-11-17,2021-12-17,-206.87$,-10.59%,-12.05%
AAPL,2021-11-17,2021-12-17,187.5$,1.16%,7.17%
ERJ,2021-10-01,2021-12-17,-79.0$,-4.55%,-18.02%
GE,2021-10-25,2021-12-17,-1248.14$,-11.69%,-11.44%
NIO,2021-11-03,2021-12-17,171.0$,4.24%,-28.04%
TSP,2021-10-28,2021-12-17,149.78$,2.84%,-15.68%
SOHO,2021-09-28,2021-12-17,51.63$,22.95%,-17.96%
