SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-11-17,2021-12-17,113.82$,6.62%,-12.05%
AAPL,2021-11-17,2021-12-17,312.94$,1.86%,7.17%
ERJ,2021-10-01,2021-12-17,-368.49$,-21.29%,-18.02%
GE,2021-10-25,2021-12-17,-660.2$,-6.29%,-11.44%
NIO,2021-11-03,2021-12-17,56.0$,1.39%,-28.04%
TSP,2021-10-28,2021-12-17,254.15$,6.47%,-15.68%
SOHO,2021-09-28,2021-12-17,9.7$,4.16%,-17.96%
